DaystoDepart,RoundTrip,SeatClass,Time,Price
32,1,0,0,0.223568282
32,1,0,1,0.264317181
32,1,0,2,0.179515419
32,0,1,0,0.248898678
32,0,1,1,0.248898678
32,0,1,2,0.248898678
32,1,1,0,0.636563877
32,1,1,1,0.636563877
32,1,1,2,0.636563877
32,0,2,0,0.248898678
32,0,2,1,0.248898678
32,0,2,2,0.248898678
32,1,2,0,0.636563877
32,1,2,1,0.636563877
32,1,2,2,0.636563877
33,0,0,0,0.002202643
33,0,0,1,0.002202643
33,0,0,2,0.002202643
33,1,0,0,0.057268722
33,1,0,1,0.101321586
33,1,0,2,0.057268722
33,0,1,0,0.215859031
33,0,1,1,0.215859031
33,0,1,2,0.215859031
33,1,1,0,0.462555066
33,1,1,1,0.523127753
33,1,1,2,0.462555066
33,0,2,0,0.215859031
33,0,2,1,0.215859031
33,0,2,2,0.215859031
33,1,2,0,0.462555066
33,1,2,1,0.523127753
33,1,2,2,0.462555066
34,0,0,0,0.002202643
34,0,0,1,0.002202643
34,0,0,2,0.002202643
34,1,0,0,0.035242291
34,1,0,1,0.066079295
34,1,0,2,0.035242291
34,0,1,0,0.215859031
34,0,1,1,0.215859031
34,0,1,2,0.215859031
34,1,1,0,0.45154185
34,1,1,1,0.471365639
34,1,1,2,0.45154185
34,0,2,0,0.215859031
34,0,2,1,0.215859031
34,0,2,2,0.215859031
34,1,2,0,0.45154185
34,1,2,1,0.471365639
34,1,2,2,0.45154185
35,0,0,0,0.002202643
35,0,0,1,0.002202643
35,0,0,2,0.002202643
35,1,0,0,0.044052863
35,1,0,1,0.044052863
35,1,0,2,0.044052863
35,0,1,0,0.215859031
35,0,1,1,0.248898678
35,0,1,2,0.215859031
35,1,1,0,0.460352423
35,1,1,1,0.564977974
35,1,1,2,0.460352423
35,0,2,0,0.215859031
35,0,2,1,0.248898678
35,0,2,2,0.215859031
35,1,2,0,0.460352423
35,1,2,1,0.564977974
35,1,2,2,0.460352423
36,0,0,0,0.002202643
36,0,0,1,0.002202643
36,0,0,2,0.002202643
36,1,0,0,0.057268722
36,1,0,1,0.035242291
36,1,0,2,0.035242291
36,0,1,0,0.215859031
36,0,1,1,0.215859031
36,0,1,2,0.215859031
36,1,1,0,0.462555066
36,1,1,1,0.45154185
36,1,1,2,0.45154185
36,0,2,0,0.215859031
36,0,2,1,0.215859031
36,0,2,2,0.215859031
36,1,2,0,0.462555066
36,1,2,1,0.45154185
36,1,2,2,0.45154185
37,0,0,0,0.002202643
37,0,0,1,0.002202643
37,0,0,2,0.002202643
37,1,0,0,0.026431718
37,1,0,1,0.057268722
37,1,0,2,0.057268722
37,0,1,0,0.215859031
37,0,1,1,0.215859031
37,0,1,2,0.248898678
37,1,1,0,0.442731278
37,1,1,1,0.462555066
37,1,1,2,0.556167401
37,0,2,0,0.215859031
37,0,2,1,0.215859031
37,0,2,2,0.248898678
37,1,2,0,0.442731278
37,1,2,1,0.462555066
37,1,2,2,0.556167401
38,0,0,0,0.002202643
38,0,0,1,0.002202643
38,0,0,2,0.002202643
38,1,0,0,0.176211454
38,1,0,1,0.176211454
38,1,0,2,0.176211454
38,0,1,0,0.215859031
