Days_to_Departure,One-way Morning Economy,One-way Afternoon Economy,One-way Evening Economy,Roundtrip Morning Economy,Roundtrip Afternoon Economy,Roundtrip Evening Economy,One-way Morning Business,One-way Afternoon Business,One-way Evening Business,Roundtrip Morning Business,Roundtrip Afternoon Business,Roundtrip Evening Business,One-way Morning First Class,One-way Afternoon First Class,One-way Evening First Class,Roundtrip Morning First Class,Roundtrip Afternoon First Class,Roundtrip Evening First Class,Average
23,239,228,228,329,410,317,383,497,456,662,771,738,383,497,456,662,771,738,486.9444444
24,239,313,239,391,487,397,383,473,383,735,825,735,383,473,383,735,825,735,507.4444444
25,159,159,159,317,317,317,353,383,353,705,735,705,353,383,353,705,735,705,438.6666667
26,159,159,159,181,249,181,353,353,353,559,632,559,353,353,353,559,632,559,372.5555556
27,159,180,159,217,280,217,353,383,383,585,670,670,353,383,383,585,670,670,405.5555556
28,187,215,180,280,308,273,383,383,448,670,670,773,383,383,448,670,670,715,446.6111111
29,239,241,200,318,305,294,465,449,383,741,677,662,473,449,383,741,677,662,464.3888889
30,239,257,282,329,368,318,383,487,481,662,772,703,383,487,481,662,772,703,487.1666667
31,279,282,207,438,478,360,473,527,425,825,880,771,473,527,425,825,880,772,547.0555556
32,207,187,167,360,397,320,383,383,383,735,735,735,383,383,383,735,735,735,463.6666667
33,159,159,159,209,249,209,353,353,353,577,632,577,353,353,353,577,632,577,379.6666667
34,159,159,159,189,217,189,353,353,353,567,585,567,353,353,353,567,585,567,368.2222222
35,159,159,159,197,197,197,353,383,353,575,670,575,353,383,353,575,670,575,382.5555556
36,159,159,159,209,189,189,353,353,353,577,567,567,353,353,353,577,567,567,366.8888889
37,159,159,159,181,209,209,353,353,383,559,577,662,353,353,383,559,577,662,380.5555556
38,159,159,159,317,317,317,353,353,353,725,725,725,353,353,353,725,725,725,438.6666667
39,159,159,159,317,317,317,353,383,353,725,755,725,353,383,353,725,755,725,445.3333333
40,159,159,159,181,181,181,353,353,353,579,579,579,353,353,353,579,579,579,367.3333333
41,159,159,159,189,189,189,353,353,353,587,587,587,353,353,353,587,587,587,371.3333333
42,159,159,159,197,197,197,373,373,373,615,615,615,373,373,373,615,615,615,388.6666667
43,159,159,159,189,189,189,373,373,373,587,587,587,373,373,373,587,587,587,378
44,159,159,159,209,181,181,483,373,373,735,579,579,483,373,373,735,579,579,405.1111111
45,159,159,159,314,314,314,373,373,373,725,725,725,373,373,373,725,725,725,444.8333333
46,159,159,159,314,314,314,373,373,373,725,725,725,373,373,373,725,725,725,444.8333333
47,159,159,159,181,181,181,353,353,353,559,559,559,353,353,353,559,559,559,360.6666667
48,159,159,159,189,189,189,353,353,353,567,567,567,353,353,353,567,567,567,364.6666667
49,159,159,159,197,197,197,353,353,353,575,585,575,353,353,353,575,585,575,369.7777778
50,159,159,159,189,209,209,353,383,353,567,662,577,353,383,353,567,662,577,381.8888889
51,159,159,159,181,181,249,353,353,383,559,559,662,353,353,383,559,559,662,379.2222222
52,159,239,159,317,397,317,353,383,383,705,735,735,353,383,383,705,735,735,454.2222222
53,159,159,159,314,317,314,353,353,353,705,703,705,353,353,353,705,705,705,431.5555556
54,159,159,159,181,181,181,353,353,353,559,559,559,353,353,353,559,559,559,360.6666667
55,159,159,159,189,189,189,353,353,353,585,567,567,353,353,353,585,567,567,366.6666667
56,159,159,159,197,197,197,353,353,353,670,575,575,383,353,353,670,575,575,380.8888889
57,159,159,159,189,189,189,353,353,353,567,567,567,353,353,353,567,567,567,364.6666667
58,159,159,159,181,209,249,353,353,353,559,577,632,353,353,353,559,577,632,376.1111111
59,159,239,159,317,397,317,353,383,353,705,735,705,353,383,353,705,735,705,447.5555556
60,159,159,159,314,317,314,353,353,353,705,705,705,353,353,353,705,705,705,431.6666667
61,159,159,159,181,181,181,353,353,353,559,559,559,353,353,353,559,559,559,360.6666667
62,159,159,159,189,189,189,353,353,353,567,567,567,353,353,353,567,567,567,364.6666667
63,159,159,159,197,197,197,353,353,353,640,575,575,353,353,353,640,575,575,375.8888889
64,159,159,159,209,189,189,353,353,353,577,577,567,353,353,353,577,577,567,368
